timestamp,name,group,location,value_1,value_2,value_3,location_previous
05/20/2018 12:00,Matthew Nickel,entrepreneur,d,4,5,4,door
05/20/2018 13:30,Matthew Nickel,entrepreneur,b,2,5,0,d
05/20/2018 13:48,Matthew Nickel,entrepreneur,a,4,4,0,b
05/20/2018 14:16,Matthew Nickel,entrepreneur,c,3,2,1,a
05/20/2018 14:42,Matthew Nickel,entrepreneur,e,2,0,2,c
05/20/2018 12:00,William Gonzales,entrepreneur,c,1,2,5,door
05/20/2018 12:27,William Gonzales,entrepreneur,e,0,2,4,c
05/20/2018 12:54,William Gonzales,entrepreneur,b,5,5,0,e
05/20/2018 13:04,William Gonzales,entrepreneur,a,5,0,3,b
05/20/2018 13:10,William Gonzales,entrepreneur,d,1,2,4,a
05/20/2018 12:00,Stephen Rodriguez,adult,b,4,1,4,door
05/20/2018 13:17,Stephen Rodriguez,adult,d,1,2,0,b
05/20/2018 13:48,Stephen Rodriguez,adult,a,2,1,2,d
05/20/2018 15:54,Stephen Rodriguez,adult,c,4,3,1,a
05/20/2018 16:19,Stephen Rodriguez,adult,e,0,4,1,c
05/20/2018 12:00,Kathryn Yeater,entrepreneur,e,5,0,3,door
05/20/2018 12:21,Kathryn Yeater,entrepreneur,a,2,0,2,e
05/20/2018 12:54,Kathryn Yeater,entrepreneur,c,4,4,3,a
05/20/2018 13:48,Kathryn Yeater,entrepreneur,d,4,1,4,c
05/20/2018 14:24,Kathryn Yeater,entrepreneur,b,3,2,5,d
05/20/2018 12:00,Evelyn Hammond,faculty,a,3,5,4,door
05/20/2018 12:27,Evelyn Hammond,faculty,c,2,5,0,a
05/20/2018 13:33,Evelyn Hammond,faculty,d,0,3,2,c
05/20/2018 13:42,Evelyn Hammond,faculty,e,5,2,5,d
05/20/2018 13:48,Evelyn Hammond,faculty,b,3,4,3,e
05/20/2018 12:00,Susan Robertson,entrepreneur,b,5,0,5,door
05/20/2018 15:00,Susan Robertson,entrepreneur,c,2,2,2,b
05/20/2018 15:09,Susan Robertson,entrepreneur,a,3,5,3,c
05/20/2018 15:32,Susan Robertson,entrepreneur,e,3,2,3,a
05/20/2018 15:43,Susan Robertson,entrepreneur,d,3,5,3,e
05/20/2018 12:00,Jeffrey Jones,faculty,e,0,0,2,door
05/20/2018 14:24,Jeffrey Jones,faculty,a,0,2,1,e
05/20/2018 14:24,Jeffrey Jones,faculty,b,0,2,4,a
05/20/2018 15:36,Jeffrey Jones,faculty,c,2,1,0,b
05/20/2018 15:50,Jeffrey Jones,faculty,d,0,5,0,c
05/20/2018 12:00,Lester Lallo,faculty,d,0,1,2,door
05/20/2018 12:34,Lester Lallo,faculty,b,3,3,3,d
05/20/2018 13:26,Lester Lallo,faculty,a,3,1,1,b
05/20/2018 14:24,Lester Lallo,faculty,c,3,5,1,a
05/20/2018 14:44,Lester Lallo,faculty,e,1,1,1,c
05/20/2018 12:00,Timothy Winkler,faculty,a,4,2,1,door
05/20/2018 13:48,Timothy Winkler,faculty,c,0,4,3,a
05/20/2018 14:43,Timothy Winkler,faculty,b,4,5,0,c
05/20/2018 15:36,Timothy Winkler,faculty,d,0,2,0,b
05/20/2018 15:36,Timothy Winkler,faculty,e,2,1,1,d
05/20/2018 12:00,Jeanetta Rutherford,student,e,0,4,3,door
05/20/2018 13:48,Jeanetta Rutherford,student,b,0,1,5,e
05/20/2018 14:16,Jeanetta Rutherford,student,c,0,5,0,b
05/20/2018 14:24,Jeanetta Rutherford,student,a,4,3,0,c
05/20/2018 14:45,Jeanetta Rutherford,student,d,3,1,1,a
05/20/2018 12:00,James Cha,student,e,3,5,5,door
05/20/2018 13:30,James Cha,student,d,2,5,0,e
05/20/2018 14:13,James Cha,student,b,1,1,5,d
05/20/2018 15:00,James Cha,student,c,4,4,4,b
05/20/2018 15:54,James Cha,student,a,0,5,0,c
05/20/2018 12:00,Lucrecia Mendoza,faculty,d,3,1,5,door
05/20/2018 13:31,Lucrecia Mendoza,faculty,e,3,4,4,d
05/20/2018 13:48,Lucrecia Mendoza,faculty,a,5,2,3,e
05/20/2018 13:48,Lucrecia Mendoza,faculty,c,3,3,0,a
05/20/2018 15:03,Lucrecia Mendoza,faculty,b,1,4,1,c
05/20/2018 12:00,Brittany Barrett,entrepreneur,e,1,0,4,door
05/20/2018 12:36,Brittany Barrett,entrepreneur,c,1,4,1,e
05/20/2018 13:12,Brittany Barrett,entrepreneur,b,2,1,0,c
05/20/2018 13:32,Brittany Barrett,entrepreneur,a,4,3,1,b
05/20/2018 14:24,Brittany Barrett,entrepreneur,d,1,5,0,a
05/20/2018 12:00,George Smith,student,d,2,5,1,door
05/20/2018 14:09,George Smith,student,e,0,0,1,d
05/20/2018 15:01,George Smith,student,c,0,0,2,e
05/20/2018 15:36,George Smith,student,b,4,5,0,c
05/20/2018 15:54,George Smith,student,a,1,4,3,b
05/20/2018 12:00,Michael Miller,adult,b,3,5,0,door
05/20/2018 13:30,Michael Miller,adult,a,3,1,0,b
05/20/2018 13:48,Michael Miller,adult,e,2,2,0,a
05/20/2018 15:00,Michael Miller,adult,c,0,2,5,e
05/20/2018 15:36,Michael Miller,adult,d,4,0,3,c
05/20/2018 12:00,Cynthia Fortin,student,a,1,5,0,door
05/20/2018 13:48,Cynthia Fortin,student,e,4,3,4,a
05/20/2018 14:24,Cynthia Fortin,student,d,1,2,2,e
05/20/2018 15:00,Cynthia Fortin,student,b,0,0,1,d
05/20/2018 15:27,Cynthia Fortin,student,c,5,0,3,b
05/20/2018 12:00,Jeffrey Scott,faculty,b,0,0,2,door
05/20/2018 12:08,Jeffrey Scott,faculty,a,1,2,4,b
05/20/2018 12:21,Jeffrey Scott,faculty,e,2,0,2,a
05/20/2018 12:54,Jeffrey Scott,faculty,d,3,0,5,e
05/20/2018 12:59,Jeffrey Scott,faculty,c,1,5,5,d
05/20/2018 12:00,Valerie Thompson,student,c,2,2,1,door
05/20/2018 14:06,Valerie Thompson,student,d,1,5,5,c
05/20/2018 14:24,Valerie Thompson,student,a,5,4,2,d
05/20/2018 15:16,Valerie Thompson,student,e,2,1,2,a
05/20/2018 15:36,Valerie Thompson,student,b,1,1,5,e
05/20/2018 12:00,Philip Waldon,adult,d,2,5,4,door
05/20/2018 13:04,Philip Waldon,adult,c,0,5,5,d
05/20/2018 15:02,Philip Waldon,adult,b,0,3,5,c
05/20/2018 15:36,Philip Waldon,adult,a,3,3,4,b
05/20/2018 15:36,Philip Waldon,adult,e,0,0,2,a
05/20/2018 12:00,Judy Nance,adult,e,0,4,0,door
05/20/2018 12:57,Judy Nance,adult,b,1,3,5,e
05/20/2018 14:24,Judy Nance,adult,d,0,5,4,b
05/20/2018 15:28,Judy Nance,adult,a,5,4,5,d
05/20/2018 15:41,Judy Nance,adult,c,4,3,1,a
05/20/2018 12:00,Frances Urquhart,student,d,2,3,4,door
05/20/2018 12:43,Frances Urquhart,student,b,3,4,2,d
05/20/2018 13:37,Frances Urquhart,student,e,4,2,1,b
05/20/2018 14:24,Frances Urquhart,student,a,0,0,3,e
05/20/2018 15:00,Frances Urquhart,student,c,3,5,4,a
05/20/2018 12:00,Devon Lilly,faculty,e,3,4,0,door
05/20/2018 12:25,Devon Lilly,faculty,a,1,4,0,e
05/20/2018 13:04,Devon Lilly,faculty,b,2,1,2,a
05/20/2018 13:48,Devon Lilly,faculty,d,1,4,0,b
05/20/2018 14:46,Devon Lilly,faculty,c,5,0,1,d
05/20/2018 12:00,Mackenzie Chan,entrepreneur,b,3,1,2,door
05/20/2018 12:36,Mackenzie Chan,entrepreneur,d,4,4,4,b
05/20/2018 13:12,Mackenzie Chan,entrepreneur,c,0,3,4,d
05/20/2018 13:48,Mackenzie Chan,entrepreneur,a,5,1,5,c
05/20/2018 13:55,Mackenzie Chan,entrepreneur,e,2,1,2,a
05/20/2018 12:00,Dorothy Million,faculty,c,4,1,0,door
05/20/2018 13:48,Dorothy Million,faculty,d,2,3,1,c
05/20/2018 14:31,Dorothy Million,faculty,a,3,1,3,d
05/20/2018 15:00,Dorothy Million,faculty,b,0,1,1,a
05/20/2018 15:36,Dorothy Million,faculty,e,5,2,0,b
05/20/2018 12:00,John House,faculty,b,1,2,1,door
05/20/2018 12:38,John House,faculty,c,2,2,5,b
05/20/2018 12:43,John House,faculty,a,2,1,1,c
05/20/2018 13:04,John House,faculty,e,3,3,3,a
05/20/2018 13:48,John House,faculty,d,4,4,0,e
05/20/2018 12:00,Michael Erwin,student,d,1,5,1,door
05/20/2018 13:48,Michael Erwin,student,c,3,5,2,d
05/20/2018 13:48,Michael Erwin,student,b,5,0,1,c
05/20/2018 14:42,Michael Erwin,student,e,3,0,0,b
05/20/2018 15:36,Michael Erwin,student,a,5,5,4,e
05/20/2018 12:00,Roger Garay,student,a,1,5,4,door
05/20/2018 13:26,Roger Garay,student,c,0,5,3,a
05/20/2018 13:48,Roger Garay,student,e,3,1,5,c
05/20/2018 14:31,Roger Garay,student,b,4,1,1,e
05/20/2018 15:15,Roger Garay,student,d,3,4,5,b
05/20/2018 12:00,Christine Burns,faculty,e,3,1,4,door
05/20/2018 13:48,Christine Burns,faculty,b,2,2,4,e
05/20/2018 14:24,Christine Burns,faculty,a,5,1,4,b
05/20/2018 14:36,Christine Burns,faculty,d,2,4,4,a
05/20/2018 15:37,Christine Burns,faculty,c,3,1,0,d
05/20/2018 12:00,Frankie Ryan,faculty,d,5,5,1,door
05/20/2018 13:10,Frankie Ryan,faculty,e,5,1,3,d
05/20/2018 14:05,Frankie Ryan,faculty,a,0,2,5,e
05/20/2018 14:27,Frankie Ryan,faculty,c,3,3,5,a
05/20/2018 15:00,Frankie Ryan,faculty,b,0,5,3,c
05/20/2018 12:00,Lloyd Parraga,entrepreneur,d,1,2,5,door
05/20/2018 14:06,Lloyd Parraga,entrepreneur,c,3,2,4,d
05/20/2018 15:00,Lloyd Parraga,entrepreneur,b,4,0,0,c
05/20/2018 15:09,Lloyd Parraga,entrepreneur,a,0,0,5,b
05/20/2018 16:12,Lloyd Parraga,entrepreneur,e,1,3,4,a
05/20/2018 12:00,Gladys Robb,faculty,e,4,3,0,door
05/20/2018 13:48,Gladys Robb,faculty,c,3,4,2,e
05/20/2018 14:24,Gladys Robb,faculty,a,3,1,2,c
05/20/2018 15:28,Gladys Robb,faculty,b,3,0,5,a
05/20/2018 16:12,Gladys Robb,faculty,d,2,1,3,b
05/20/2018 12:00,Eric Risher,student,e,0,2,0,door
05/20/2018 15:36,Eric Risher,student,d,0,4,2,e
05/20/2018 16:04,Eric Risher,student,b,2,2,4,d
05/20/2018 16:48,Eric Risher,student,a,0,3,2,b
05/20/2018 17:02,Eric Risher,student,c,3,0,0,a
05/20/2018 12:00,Donna Twine,faculty,c,0,2,3,door
05/20/2018 12:25,Donna Twine,faculty,b,5,1,4,c
05/20/2018 12:32,Donna Twine,faculty,e,5,2,5,b
05/20/2018 12:43,Donna Twine,faculty,a,0,2,2,e
05/20/2018 13:48,Donna Twine,faculty,d,3,2,4,a
05/20/2018 12:00,Nolan Uribe,faculty,a,2,4,1,door
05/20/2018 13:12,Nolan Uribe,faculty,d,1,4,4,a
05/20/2018 13:48,Nolan Uribe,faculty,b,4,1,3,d
05/20/2018 14:02,Nolan Uribe,faculty,e,3,3,4,b
05/20/2018 14:06,Nolan Uribe,faculty,c,5,1,1,e
05/20/2018 12:00,Paul Kaeo,entrepreneur,c,2,4,3,door
05/20/2018 13:04,Paul Kaeo,entrepreneur,b,2,0,5,c
05/20/2018 13:04,Paul Kaeo,entrepreneur,e,1,0,4,b
05/20/2018 13:48,Paul Kaeo,entrepreneur,d,4,1,5,e
05/20/2018 15:00,Paul Kaeo,entrepreneur,a,3,0,0,d
05/20/2018 12:00,Teresa Burlew,faculty,e,1,0,4,door
05/20/2018 13:04,Teresa Burlew,faculty,c,3,0,5,e
05/20/2018 15:00,Teresa Burlew,faculty,b,0,3,4,c
05/20/2018 15:36,Teresa Burlew,faculty,a,4,0,4,b
05/20/2018 16:33,Teresa Burlew,faculty,d,3,2,1,a
05/20/2018 12:00,James Ritchie,entrepreneur,a,3,0,4,door
05/20/2018 13:04,James Ritchie,entrepreneur,b,0,2,2,a
05/20/2018 13:52,James Ritchie,entrepreneur,e,1,2,0,b
05/20/2018 14:24,James Ritchie,entrepreneur,d,4,1,3,e
05/20/2018 15:00,James Ritchie,entrepreneur,c,2,5,3,d
05/20/2018 12:00,Laura Rummel,student,d,2,2,4,door
05/20/2018 13:26,Laura Rummel,student,c,4,2,5,d
05/20/2018 14:24,Laura Rummel,student,b,3,0,4,c
05/20/2018 14:30,Laura Rummel,student,e,2,1,3,b
05/20/2018 15:36,Laura Rummel,student,a,3,2,1,e
05/20/2018 12:00,Benjamin Mccleary,adult,a,4,1,3,door
05/20/2018 13:48,Benjamin Mccleary,adult,b,2,4,4,a
05/20/2018 14:52,Benjamin Mccleary,adult,d,2,2,5,b
05/20/2018 15:00,Benjamin Mccleary,adult,c,3,2,4,d
05/20/2018 15:36,Benjamin Mccleary,adult,e,1,4,3,c
05/20/2018 12:00,Shane Silver,entrepreneur,d,2,3,5,door
05/20/2018 13:26,Shane Silver,entrepreneur,c,1,5,2,d
05/20/2018 14:09,Shane Silver,entrepreneur,e,5,4,2,c
05/20/2018 14:44,Shane Silver,entrepreneur,a,3,4,4,e
05/20/2018 15:36,Shane Silver,entrepreneur,b,5,2,5,a
05/20/2018 12:00,Willie Sandifer,entrepreneur,d,1,1,0,door
05/20/2018 13:12,Willie Sandifer,entrepreneur,b,5,1,4,d
05/20/2018 14:24,Willie Sandifer,entrepreneur,a,3,4,1,b
05/20/2018 15:00,Willie Sandifer,entrepreneur,c,3,2,3,a
05/20/2018 15:36,Willie Sandifer,entrepreneur,e,3,0,3,c
05/20/2018 12:00,Pete Kerns,faculty,b,5,0,0,door
05/20/2018 13:48,Pete Kerns,faculty,a,4,0,1,b
05/20/2018 14:24,Pete Kerns,faculty,c,0,0,0,a
05/20/2018 15:00,Pete Kerns,faculty,d,0,2,4,c
05/20/2018 15:01,Pete Kerns,faculty,e,4,0,5,d
05/20/2018 12:00,Sharon Pape,faculty,a,1,5,5,door
05/20/2018 13:26,Sharon Pape,faculty,e,0,1,1,a
05/20/2018 13:48,Sharon Pape,faculty,c,2,4,0,e
05/20/2018 14:48,Sharon Pape,faculty,d,3,3,2,c
05/20/2018 15:03,Sharon Pape,faculty,b,5,2,3,d
05/20/2018 12:00,Jesus Thompson,entrepreneur,e,1,3,2,door
05/20/2018 12:43,Jesus Thompson,entrepreneur,b,1,4,5,e
05/20/2018 13:37,Jesus Thompson,entrepreneur,a,5,2,3,b
05/20/2018 14:24,Jesus Thompson,entrepreneur,c,3,5,1,a
05/20/2018 15:00,Jesus Thompson,entrepreneur,d,5,5,5,c
05/20/2018 12:00,Leslie Gorman,student,d,4,1,4,door
05/20/2018 13:48,Leslie Gorman,student,b,3,0,0,d
05/20/2018 14:24,Leslie Gorman,student,a,5,4,5,b
05/20/2018 14:42,Leslie Gorman,student,e,1,3,3,a
05/20/2018 15:36,Leslie Gorman,student,c,0,2,1,e
05/20/2018 12:00,Tyron Newyear,adult,a,5,2,2,door
05/20/2018 15:00,Tyron Newyear,adult,e,4,3,1,a
05/20/2018 15:00,Tyron Newyear,adult,b,0,2,1,e
05/20/2018 15:43,Tyron Newyear,adult,d,2,5,0,b
05/20/2018 16:48,Tyron Newyear,adult,c,2,0,1,d
05/20/2018 12:00,John Godfrey,entrepreneur,d,4,5,4,door
05/20/2018 12:38,John Godfrey,entrepreneur,e,4,3,5,d
05/20/2018 13:14,John Godfrey,entrepreneur,b,2,1,5,e
05/20/2018 14:09,John Godfrey,entrepreneur,a,0,2,0,b
05/20/2018 14:14,John Godfrey,entrepreneur,c,1,0,0,a
05/20/2018 12:00,Anne Dunigan,student,e,3,5,4,door
05/20/2018 13:12,Anne Dunigan,student,c,3,2,2,e
05/20/2018 15:00,Anne Dunigan,student,a,5,1,5,c
05/20/2018 15:00,Anne Dunigan,student,d,5,2,4,a
05/20/2018 15:54,Anne Dunigan,student,b,5,4,1,d
05/20/2018 12:00,Maria Betterton,entrepreneur,e,5,5,0,door
05/20/2018 12:49,Maria Betterton,entrepreneur,a,5,5,4,e
05/20/2018 14:24,Maria Betterton,entrepreneur,d,3,0,4,a
05/20/2018 14:45,Maria Betterton,entrepreneur,b,5,1,4,d
05/20/2018 14:49,Maria Betterton,entrepreneur,c,2,4,3,b
05/20/2018 12:00,Reggie Major,entrepreneur,b,2,4,2,door
05/20/2018 14:24,Reggie Major,entrepreneur,c,4,0,0,b
05/20/2018 15:00,Reggie Major,entrepreneur,a,3,2,0,c
05/20/2018 15:00,Reggie Major,entrepreneur,d,4,1,2,a
05/20/2018 15:50,Reggie Major,entrepreneur,e,0,3,2,d
05/20/2018 12:00,Robert Soriano,student,a,4,5,2,door
05/20/2018 13:26,Robert Soriano,student,b,0,5,2,a
05/20/2018 15:36,Robert Soriano,student,c,1,1,1,b
05/20/2018 16:48,Robert Soriano,student,e,3,0,0,c
05/20/2018 16:48,Robert Soriano,student,d,0,0,5,e
05/20/2018 12:00,Michael Flores,adult,b,1,5,5,door
05/20/2018 13:12,Michael Flores,adult,d,4,0,1,b
05/20/2018 13:55,Michael Flores,adult,a,1,5,5,d
05/20/2018 15:00,Michael Flores,adult,c,1,4,4,a
05/20/2018 15:36,Michael Flores,adult,e,1,4,3,c
05/20/2018 12:00,Donna Evans,entrepreneur,b,2,4,0,door
